"Latitude","Longitude","COLETA"
"-23.548841582517607","-46.63372278213501","CAMERA"
"-23.555433551690662","-46.64020836353303","CAMERA"
"-23.551516766895677","-46.637767553329475","CAMERA"
"-23.554467274762217","-46.64055705070496","CAMERA"
"-23.548625204930854","-46.63490295410156","CAMERA"
"-23.54553686783304","-46.641554832458496","CAMERA"
"-23.549274336622684","-46.63383007049561","CAMERA"
"-23.54248780144856","-46.638057231903076","CAMERA"
"-23.547740020185714","-46.63546085357666","CAMERA"
"-23.55402224406733","-46.64047926664353","CAMERA"
"-23.55369031411491","-46.63958072662354","CAMERA"
"-23.554073877540148","-46.639738976955414","CAMERA"
"-23.54632371219698","-46.635546684265144","CAMERA"
"-23.544513963120412","-46.642520427703865","CAMERA"
"-23.546205685842576","-46.63350820541382","CAMERA"
"-23.54225174174757","-46.63876533508301","CAMERA"
"-23.545871277263068","-46.636040210723884","CAMERA"
"-23.55397798678878","-46.63926422595978","CAMERA"
"-23.552962524026018","-46.639763116836555","CAMERA"
"-23.554132887198527","-46.63968533277512","CAMERA"
"-23.548094094798984","-46.64022445678712","CAMERA"
"-23.542841890205498","-46.63928031921387","CAMERA"
"-23.54636305429158","-46.63434505462647","CAMERA"
"-23.554169768221566","-46.639736294746406","CAMERA"
"-23.546638448624094","-46.63769245147706","CAMERA"
"-23.541504216565638","-46.63955926895142","CAMERA"
"-23.55372965400491","-46.64018154144287","CAMERA"
"-23.55449923823478","-46.63994818925858","CAMERA"
"-23.546205685842576","-46.63833618164063","CAMERA"
"-23.544671333594152","-46.64348602294922","CAMERA"
"-23.544218892974502","-46.634559631347656","CAMERA"
"-23.55478199169205","-46.6400957107544","CAMERA"
"-23.547051539041288","-46.63955926895142","CAMERA"
"-23.543136963441317","-46.64142608642579","CAMERA"
"-23.547090880918095","-46.6367268562317","CAMERA"
"-23.5550155701762","-46.640283465385444","CAMERA"
"-23.54252714469084","-46.64043903350831","CAMERA"
"-23.55342476954943","-46.642069816589355","CAMERA"
"-23.543216","-46.636448","MANUAIS"
"-23.550179","-46.635203","MANUAIS"
"-23.550273","-46.635954","MANUAIS"
"-23.549756","-46.638798","MANUAIS"
"-23.55016","-46.638857","MANUAIS"
"-23.550214","-46.638604","MANUAIS"
"-23.549923","-46.638519","MANUAIS"
"-23.549722","-46.638658","MANUAIS"
"-19.9145","-43.928771","MANUAIS"
"-19.917194","-43.936152","MANUAIS"
"-19.917153","-43.936388","MANUAIS"
"-19.914147","-43.929425","MANUAIS"
"-19.917063","-43.935895","MANUAIS"
"-23.558362","-46.636809","cam_liberdade"
